age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19774,TRUE,FALSE,FALSE
46,female,2,Facebook,Travel,United Kingdom,Urban,Student,10564,TRUE,TRUE,TRUE
32,male,8,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,13258,FALSE,FALSE,FALSE
60,non-binary,5,Instagram,Travel,United Kingdom,Urban,Student,12500,FALSE,TRUE,FALSE
25,male,1,Instagram,Lifestlye,Australia,Urban,Software Engineer,14566,FALSE,TRUE,TRUE
38,male,3,Facebook,Travel,United States,Urban,Marketer Manager,19179,TRUE,TRUE,TRUE
56,male,8,YouTube,Sports,United States,Urban,Student,16881,TRUE,TRUE,TRUE
36,male,4,Instagram,Sports,Australia,Urban,Marketer Manager,13636,TRUE,FALSE,TRUE
40,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16030,FALSE,FALSE,TRUE
28,non-binary,2,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10223,TRUE,FALSE,TRUE
28,female,7,YouTube,Lifestlye,United Kingdom,Urban,Student,16297,TRUE,TRUE,FALSE
41,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,10350,FALSE,FALSE,FALSE
53,non-binary,5,Facebook,Sports,Australia,Rural,Student,17314,FALSE,TRUE,TRUE
57,female,6,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,11928,FALSE,TRUE,FALSE
41,non-binary,9,YouTube,Travel,United States,Rural,Student,17743,TRUE,TRUE,FALSE
20,male,6,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,18540,TRUE,TRUE,FALSE
39,male,8,Instagram,Travel,United States,Sub_Urban,Student,14732,TRUE,TRUE,FALSE
19,female,7,Instagram,Sports,United Kingdom,Rural,Marketer Manager,11017,FALSE,TRUE,TRUE
41,female,9,Facebook,Sports,United States,Sub_Urban,Student,12226,FALSE,FALSE,FALSE
61,female,4,Facebook,Sports,United States,Urban,Marketer Manager,17206,FALSE,FALSE,FALSE
47,male,2,Instagram,Sports,United Kingdom,Rural,Software Engineer,17170,FALSE,FALSE,TRUE
55,non-binary,7,YouTube,Travel,Australia,Urban,Student,16207,TRUE,FALSE,TRUE
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,12419,TRUE,TRUE,TRUE
38,female,1,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16240,TRUE,TRUE,TRUE
50,non-binary,9,Instagram,Sports,United Kingdom,Rural,Software Engineer,11893,TRUE,FALSE,FALSE
29,non-binary,9,Facebook,Travel,Australia,Rural,Student,15322,TRUE,FALSE,TRUE
39,male,2,Instagram,Lifestlye,Australia,Urban,Software Engineer,17718,TRUE,FALSE,FALSE
61,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,16878,TRUE,FALSE,FALSE
42,male,5,YouTube,Travel,Australia,Urban,Software Engineer,11125,TRUE,FALSE,TRUE
44,non-binary,5,YouTube,Sports,Australia,Sub_Urban,Software Engineer,13117,FALSE,FALSE,TRUE
59,male,1,Facebook,Sports,United States,Urban,Marketer Manager,14161,FALSE,FALSE,TRUE
45,male,8,Facebook,Lifestlye,United States,Rural,Software Engineer,14042,TRUE,FALSE,TRUE
33,female,8,Instagram,Lifestlye,United States,Urban,Software Engineer,14433,FALSE,TRUE,TRUE
32,female,4,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,18638,TRUE,TRUE,TRUE
64,non-binary,7,Instagram,Lifestlye,Australia,Sub_Urban,Software Engineer,12658,TRUE,TRUE,FALSE
61,male,3,Instagram,Travel,United States,Rural,Marketer Manager,13483,FALSE,TRUE,FALSE
20,male,6,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,12944,TRUE,FALSE,FALSE
54,male,9,YouTube,Lifestlye,United States,Urban,Marketer Manager,17210,TRUE,TRUE,FALSE
24,non-binary,1,Instagram,Lifestlye,United States,Rural,Software Engineer,17653,TRUE,FALSE,TRUE
38,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,18787,TRUE,TRUE,TRUE
26,female,4,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,11986,TRUE,FALSE,FALSE
56,female,8,Instagram,Sports,Australia,Urban,Software Engineer,11074,TRUE,FALSE,FALSE
35,female,1,Instagram,Lifestlye,Australia,Urban,Marketer Manager,14305,TRUE,TRUE,FALSE
21,male,9,Instagram,Travel,United States,Rural,Marketer Manager,13007,FALSE,TRUE,TRUE
42,male,6,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,10969,FALSE,FALSE,TRUE
31,female,4,Instagram,Travel,United Kingdom,Urban,Student,18772,TRUE,FALSE,TRUE
26,male,9,Facebook,Travel,Australia,Rural,Software Engineer,12824,FALSE,FALSE,FALSE
43,female,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,11211,TRUE,TRUE,FALSE
19,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10229,TRUE,TRUE,TRUE
37,female,5,YouTube,Lifestlye,United States,Rural,Student,14284,TRUE,FALSE,TRUE
45,non-binary,1,YouTube,Lifestlye,United Kingdom,Rural,Software Engineer,13185,TRUE,TRUE,FALSE
64,male,1,Facebook,Travel,United States,Urban,Marketer Manager,10501,FALSE,FALSE,FALSE
24,female,8,Facebook,Sports,United States,Sub_Urban,Software Engineer,10048,FALSE,TRUE,TRUE
61,male,8,YouTube,Travel,United States,Sub_Urban,Software Engineer,13566,FALSE,TRUE,FALSE
25,non-binary,6,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,13055,FALSE,TRUE,TRUE
64,non-binary,4,Instagram,Lifestlye,United States,Rural,Marketer Manager,18880,TRUE,TRUE,TRUE
52,non-binary,2,YouTube,Travel,United Kingdom,Urban,Software Engineer,10386,FALSE,TRUE,FALSE
31,male,2,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,10969,TRUE,FALSE,FALSE
34,male,9,Instagram,Travel,United States,Rural,Marketer Manager,19197,TRUE,FALSE,FALSE
53,male,5,Facebook,Sports,United States,Sub_Urban,Software Engineer,15820,FALSE,TRUE,TRUE
57,male,4,Instagram,Travel,United Kingdom,Urban,Software Engineer,13052,TRUE,FALSE,FALSE
21,non-binary,1,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,17397,FALSE,FALSE,FALSE
19,non-binary,7,Facebook,Sports,Australia,Urban,Software Engineer,12302,FALSE,TRUE,TRUE
23,female,3,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,12283,FALSE,FALSE,TRUE
59,female,6,Instagram,Lifestlye,Australia,Sub_Urban,Student,19799,FALSE,TRUE,FALSE
21,male,5,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,14366,FALSE,FALSE,TRUE
46,non-binary,5,YouTube,Travel,United States,Urban,Student,10122,TRUE,FALSE,TRUE
35,non-binary,5,YouTube,Travel,Australia,Rural,Student,16799,FALSE,FALSE,TRUE
43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Student,19472,FALSE,FALSE,FALSE
61,female,1,Instagram,Travel,Australia,Sub_Urban,Software Engineer,13727,TRUE,FALSE,FALSE
51,female,3,YouTube,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,18450,FALSE,FALSE,TRUE
27,non-binary,4,Facebook,Travel,United States,Rural,Student,19139,FALSE,FALSE,TRUE
53,non-binary,5,Facebook,Sports,United Kingdom,Urban,Student,14958,TRUE,TRUE,TRUE
31,non-binary,2,Facebook,Sports,Australia,Urban,Student,10524,TRUE,TRUE,FALSE
48,female,8,YouTube,Lifestlye,Australia,Urban,Software Engineer,19079,FALSE,TRUE,TRUE
32,non-binary,2,YouTube,Travel,United States,Sub_Urban,Student,18399,TRUE,TRUE,TRUE
25,non-binary,9,Instagram,Travel,United Kingdom,Urban,Student,10148,FALSE,FALSE,FALSE
31,male,2,Instagram,Sports,United Kingdom,Rural,Marketer Manager,18001,TRUE,FALSE,TRUE
40,male,9,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,10437,FALSE,FALSE,FALSE
57,female,7,Facebook,Lifestlye,United States,Sub_Urban,Software Engineer,13749,FALSE,TRUE,FALSE
38,non-binary,8,Facebook,Sports,United Kingdom,Urban,Marketer Manager,18186,FALSE,TRUE,FALSE
33,non-binary,2,Facebook,Lifestlye,Australia,Rural,Marketer Manager,14453,TRUE,TRUE,TRUE
62,male,7,Instagram,Sports,United Kingdom,Sub_Urban,Marketer Manager,15336,FALSE,FALSE,TRUE
35,female,6,Facebook,Sports,United States,Sub_Urban,Software Engineer,14551,TRUE,TRUE,FALSE
64,male,4,Instagram,Travel,United Kingdom,Urban,Marketer Manager,12823,FALSE,FALSE,TRUE
41,male,7,Instagram,Sports,United Kingdom,Urban,Software Engineer,15728,FALSE,TRUE,FALSE
43,male,4,Facebook,Sports,Australia,Rural,Student,18677,FALSE,FALSE,TRUE
42,male,2,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,18391,FALSE,TRUE,FALSE
62,non-binary,7,YouTube,Sports,Australia,Rural,Software Engineer,11982,FALSE,FALSE,FALSE
58,non-binary,8,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16996,TRUE,TRUE,TRUE
46,male,2,Facebook,Sports,United States,Rural,Student,19663,TRUE,TRUE,TRUE
32,female,5,Instagram,Sports,Australia,Rural,Software Engineer,12311,TRUE,FALSE,TRUE
62,female,1,Instagram,Lifestlye,Australia,Rural,Software Engineer,17225,FALSE,FALSE,TRUE
18,female,7,Instagram,Travel,United States,Sub_Urban,Software Engineer,19713,FALSE,TRUE,FALSE
42,female,8,Instagram,Lifestlye,Australia,Urban,Student,10604,TRUE,FALSE,FALSE
24,male,6,Instagram,Lifestlye,United States,Sub_Urban,Student,18175,FALSE,TRUE,TRUE
26,non-binary,5,YouTube,Lifestlye,United Kingdom,Urban,Student,15785,FALSE,FALSE,TRUE
41,female,6,Facebook,Travel,United States,Rural,Software Engineer,19609,FALSE,TRUE,FALSE
18,male,2,YouTube,Sports,Australia,Rural,Student,14597,TRUE,FALSE,TRUE
61,female,1,Instagram,Lifestlye,United States,Rural,Marketer Manager,17759,TRUE,TRUE,TRUE
25,female,7,Instagram,Lifestlye,Australia,Rural,Student,17532,TRUE,TRUE,TRUE
41,male,7,Instagram,Travel,United Kingdom,Rural,Software Engineer,18740,TRUE,TRUE,TRUE
28,non-binary,2,Instagram,Lifestlye,United States,Urban,Marketer Manager,10838,TRUE,FALSE,FALSE
34,non-binary,2,Facebook,Sports,United Kingdom,Urban,Student,13815,FALSE,TRUE,FALSE
25,male,1,Instagram,Travel,Australia,Rural,Marketer Manager,10847,FALSE,FALSE,TRUE
52,non-binary,8,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,14709,FALSE,FALSE,FALSE
52,male,8,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,14507,FALSE,FALSE,TRUE
50,male,1,Facebook,Travel,United States,Rural,Marketer Manager,16575,TRUE,TRUE,TRUE
22,male,8,YouTube,Lifestlye,United States,Urban,Marketer Manager,14773,TRUE,FALSE,TRUE
59,non-binary,9,Instagram,Sports,Australia,Sub_Urban,Software Engineer,14468,FALSE,FALSE,FALSE
56,male,4,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,15192,TRUE,FALSE,FALSE
58,female,1,YouTube,Sports,United Kingdom,Sub_Urban,Software Engineer,13320,FALSE,TRUE,FALSE
45,non-binary,1,Instagram,Sports,United States,Rural,Marketer Manager,14698,FALSE,FALSE,FALSE
24,non-binary,3,Instagram,Travel,United States,Sub_Urban,Marketer Manager,14311,FALSE,FALSE,FALSE
26,non-binary,5,Instagram,Travel,United States,Sub_Urban,Marketer Manager,13673,FALSE,FALSE,TRUE
25,non-binary,5,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,11564,TRUE,FALSE,TRUE
29,female,9,Facebook,Lifestlye,United States,Sub_Urban,Student,11840,FALSE,TRUE,FALSE
51,non-binary,2,YouTube,Sports,United States,Urban,Marketer Manager,16058,TRUE,TRUE,FALSE
50,non-binary,2,Facebook,Lifestlye,Australia,Rural,Student,17131,FALSE,FALSE,FALSE
40,male,6,Facebook,Sports,United States,Rural,Software Engineer,10726,FALSE,FALSE,TRUE
41,non-binary,9,Instagram,Lifestlye,United States,Urban,Marketer Manager,19436,FALSE,FALSE,FALSE
54,female,1,Instagram,Sports,United Kingdom,Urban,Student,16697,FALSE,FALSE,TRUE
52,female,9,Instagram,Lifestlye,United Kingdom,Rural,Marketer Manager,19257,TRUE,TRUE,TRUE
61,female,9,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10282,FALSE,TRUE,FALSE
57,female,9,Instagram,Sports,United States,Sub_Urban,Marketer Manager,11081,TRUE,TRUE,TRUE
39,non-binary,5,Instagram,Lifestlye,Australia,Rural,Student,13885,FALSE,TRUE,TRUE
44,non-binary,9,Instagram,Travel,United Kingdom,Sub_Urban,Software Engineer,12881,FALSE,FALSE,FALSE
52,female,4,YouTube,Lifestlye,Australia,Urban,Marketer Manager,12970,FALSE,FALSE,TRUE
18,female,2,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,19344,TRUE,TRUE,FALSE
52,non-binary,6,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16985,FALSE,TRUE,TRUE
54,female,4,YouTube,Lifestlye,Australia,Sub_Urban,Student,10947,FALSE,FALSE,FALSE
64,male,6,Instagram,Lifestlye,United States,Rural,Student,14760,FALSE,FALSE,FALSE
31,female,3,YouTube,Lifestlye,Australia,Urban,Software Engineer,19909,FALSE,FALSE,TRUE
20,female,6,Instagram,Travel,United States,Sub_Urban,Marketer Manager,10066,FALSE,FALSE,FALSE
18,male,2,YouTube,Travel,United States,Rural,Student,18828,TRUE,FALSE,TRUE
22,male,2,Facebook,Sports,United States,Sub_Urban,Marketer Manager,18505,TRUE,TRUE,TRUE
43,non-binary,9,YouTube,Travel,United States,Urban,Marketer Manager,10564,FALSE,TRUE,FALSE
31,non-binary,7,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,19793,FALSE,FALSE,TRUE
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19017,TRUE,FALSE,FALSE
44,male,1,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,13670,FALSE,TRUE,TRUE
26,non-binary,8,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,19217,TRUE,FALSE,TRUE
32,female,6,Instagram,Sports,Australia,Sub_Urban,Software Engineer,12251,FALSE,TRUE,FALSE
32,male,7,Instagram,Lifestlye,United States,Urban,Marketer Manager,10804,FALSE,TRUE,TRUE
43,non-binary,9,YouTube,Travel,United Kingdom,Sub_Urban,Marketer Manager,14631,TRUE,TRUE,TRUE
59,female,5,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,19583,FALSE,TRUE,TRUE
30,male,1,Instagram,Sports,United States,Rural,Marketer Manager,11235,TRUE,FALSE,TRUE
49,female,7,Instagram,Sports,United Kingdom,Rural,Software Engineer,16720,TRUE,FALSE,TRUE
56,non-binary,5,Instagram,Lifestlye,United States,Urban,Marketer Manager,16906,TRUE,TRUE,TRUE
49,male,3,Instagram,Sports,United Kingdom,Sub_Urban,Marketer Manager,16016,FALSE,FALSE,TRUE
21,female,9,Instagram,Sports,United Kingdom,Urban,Software Engineer,13549,TRUE,FALSE,TRUE
47,male,1,Facebook,Sports,United Kingdom,Rural,Student,17938,TRUE,FALSE,FALSE
54,female,1,YouTube,Lifestlye,United States,Urban,Student,14141,FALSE,FALSE,TRUE
40,non-binary,1,Facebook,Travel,Australia,Urban,Software Engineer,16966,FALSE,TRUE,TRUE
56,non-binary,3,Instagram,Sports,United States,Rural,Student,19546,FALSE,FALSE,FALSE
62,male,6,Instagram,Travel,United Kingdom,Sub_Urban,Software Engineer,15335,FALSE,TRUE,FALSE
32,female,3,YouTube,Lifestlye,United States,Urban,Marketer Manager,15077,FALSE,TRUE,FALSE
60,male,8,Facebook,Lifestlye,Australia,Rural,Marketer Manager,15611,FALSE,FALSE,TRUE
46,male,2,YouTube,Lifestlye,United States,Sub_Urban,Student,18089,TRUE,TRUE,FALSE
53,female,9,Facebook,Lifestlye,Australia,Rural,Marketer Manager,12892,FALSE,FALSE,FALSE
30,female,3,Instagram,Travel,Australia,Urban,Student,15577,TRUE,FALSE,TRUE
49,female,5,YouTube,Sports,United States,Sub_Urban,Student,13618,FALSE,TRUE,TRUE
24,non-binary,8,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,11559,TRUE,FALSE,FALSE
39,male,2,Instagram,Lifestlye,Australia,Rural,Marketer Manager,16683,TRUE,TRUE,FALSE
45,male,6,YouTube,Travel,United States,Rural,Student,11507,FALSE,TRUE,TRUE
19,non-binary,5,Facebook,Travel,Australia,Rural,Marketer Manager,12063,FALSE,FALSE,TRUE
59,female,9,Facebook,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,13642,TRUE,FALSE,TRUE
62,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,12000,FALSE,FALSE,TRUE
23,non-binary,2,Facebook,Sports,United States,Urban,Marketer Manager,11294,FALSE,TRUE,TRUE
45,non-binary,5,Instagram,Lifestlye,United States,Sub_Urban,Software Engineer,14065,TRUE,FALSE,FALSE
45,male,4,YouTube,Travel,United Kingdom,Urban,Marketer Manager,18014,TRUE,TRUE,TRUE
61,non-binary,7,Facebook,Lifestlye,Australia,Rural,Marketer Manager,19945,TRUE,TRUE,TRUE
61,male,6,Instagram,Lifestlye,United States,Rural,Student,11603,FALSE,FALSE,TRUE
37,male,2,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,11322,FALSE,FALSE,TRUE
47,male,5,YouTube,Lifestlye,Australia,Rural,Marketer Manager,15956,FALSE,FALSE,TRUE
28,female,7,Instagram,Lifestlye,United Kingdom,Rural,Software Engineer,12441,FALSE,TRUE,FALSE
45,male,7,Instagram,Lifestlye,United States,Sub_Urban,Student,11098,TRUE,FALSE,TRUE
42,male,5,Facebook,Travel,Australia,Urban,Student,15073,FALSE,TRUE,FALSE
56,female,9,YouTube,Sports,United States,Sub_Urban,Student,19697,TRUE,FALSE,TRUE
50,male,4,YouTube,Sports,United States,Urban,Marketer Manager,19318,FALSE,FALSE,FALSE
18,non-binary,3,Instagram,Travel,United Kingdom,Sub_Urban,Student,18488,FALSE,TRUE,FALSE
44,non-binary,4,YouTube,Sports,United States,Sub_Urban,Software Engineer,13787,TRUE,TRUE,TRUE
30,male,5,Facebook,Lifestlye,United States,Rural,Student,12096,FALSE,FALSE,TRUE
58,female,6,YouTube,Sports,Australia,Sub_Urban,Software Engineer,12208,FALSE,FALSE,TRUE
20,non-binary,3,Instagram,Lifestlye,United Kingdom,Sub_Urban,Student,15988,TRUE,FALSE,TRUE
56,female,2,Instagram,Sports,United States,Urban,Student,10175,FALSE,FALSE,TRUE
23,female,4,Facebook,Travel,Australia,Rural,Software Engineer,17169,TRUE,FALSE,FALSE
25,non-binary,5,Facebook,Sports,United Kingdom,Urban,Student,16014,TRUE,TRUE,TRUE
44,female,4,YouTube,Sports,United Kingdom,Urban,Student,11667,TRUE,TRUE,TRUE
26,non-binary,3,YouTube,Sports,Australia,Rural,Student,18867,TRUE,TRUE,FALSE
54,female,8,Instagram,Travel,Australia,Rural,Marketer Manager,11823,FALSE,TRUE,TRUE
50,non-binary,4,Facebook,Sports,Australia,Rural,Software Engineer,15147,FALSE,FALSE,FALSE
59,male,2,Facebook,Travel,Australia,Sub_Urban,Student,11356,FALSE,TRUE,TRUE
61,non-binary,2,Facebook,Lifestlye,Australia,Rural,Software Engineer,13072,TRUE,TRUE,FALSE
41,non-binary,1,YouTube,Sports,United States,Rural,Software Engineer,13259,FALSE,TRUE,TRUE
32,non-binary,4,Facebook,Travel,United States,Rural,Software Engineer,16199,FALSE,FALSE,FALSE
49,non-binary,9,Instagram,Travel,United Kingdom,Urban,Student,10546,FALSE,TRUE,FALSE
49,female,7,Instagram,Sports,United States,Urban,Student,15231,FALSE,FALSE,TRUE
41,male,7,YouTube,Lifestlye,United States,Sub_Urban,Software Engineer,17965,TRUE,TRUE,TRUE
58,non-binary,7,YouTube,Travel,United States,Urban,Marketer Manager,12083,TRUE,FALSE,TRUE
29,female,8,Facebook,Sports,Australia,Sub_Urban,Software Engineer,12040,FALSE,TRUE,FALSE
56,male,1,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,14534,TRUE,FALSE,FALSE
19,male,8,Instagram,Travel,United Kingdom,Rural,Software Engineer,11752,FALSE,TRUE,FALSE
20,male,4,Facebook,Travel,United Kingdom,Urban,Software Engineer,19807,FALSE,FALSE,TRUE
54,male,4,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,11849,FALSE,FALSE,TRUE
34,non-binary,4,Facebook,Lifestlye,United States,Urban,Student,12642,TRUE,TRUE,FALSE
19,non-binary,6,YouTube,Sports,United States,Rural,Marketer Manager,11600,FALSE,FALSE,TRUE
19,female,7,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,14402,TRUE,FALSE,FALSE
45,female,6,Facebook,Travel,United Kingdom,Rural,Software Engineer,13799,TRUE,TRUE,TRUE
40,female,1,Instagram,Lifestlye,United States,Rural,Student,10618,FALSE,TRUE,TRUE
54,male,8,Instagram,Lifestlye,United States,Sub_Urban,Student,11132,TRUE,FALSE,FALSE
49,male,7,Facebook,Lifestlye,Australia,Rural,Marketer Manager,15491,TRUE,TRUE,TRUE
50,non-binary,6,YouTube,Travel,Australia,Rural,Student,15795,FALSE,TRUE,TRUE
18,male,6,YouTube,Lifestlye,Australia,Urban,Marketer Manager,17633,TRUE,TRUE,TRUE
36,male,5,Instagram,Lifestlye,United States,Rural,Marketer Manager,11487,TRUE,FALSE,TRUE
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,17848,FALSE,FALSE,TRUE
61,female,9,Instagram,Sports,Australia,Rural,Student,15009,FALSE,FALSE,FALSE
43,female,9,YouTube,Sports,United Kingdom,Rural,Marketer Manager,19749,TRUE,FALSE,TRUE
49,non-binary,8,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,12113,FALSE,FALSE,FALSE
23,male,9,Instagram,Lifestlye,Australia,Urban,Software Engineer,11044,FALSE,FALSE,TRUE
49,male,8,Instagram,Travel,Australia,Rural,Marketer Manager,12431,TRUE,FALSE,TRUE
21,non-binary,8,Facebook,Sports,Australia,Rural,Marketer Manager,17979,TRUE,TRUE,FALSE
28,male,1,Instagram,Sports,United States,Sub_Urban,Software Engineer,11582,FALSE,FALSE,FALSE
34,male,5,YouTube,Travel,United Kingdom,Rural,Software Engineer,11308,TRUE,FALSE,TRUE
55,female,4,YouTube,Travel,Australia,Sub_Urban,Student,14917,FALSE,TRUE,TRUE
41,non-binary,2,Instagram,Sports,United Kingdom,Urban,Marketer Manager,18793,FALSE,TRUE,FALSE
22,non-binary,8,YouTube,Travel,United Kingdom,Urban,Student,11620,TRUE,TRUE,FALSE
51,non-binary,3,Instagram,Sports,United Kingdom,Rural,Student,17503,TRUE,FALSE,FALSE
23,non-binary,4,Facebook,Travel,Australia,Rural,Software Engineer,14766,FALSE,TRUE,FALSE
39,female,7,Instagram,Travel,United States,Rural,Student,15362,FALSE,FALSE,TRUE
28,female,9,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,15192,FALSE,FALSE,TRUE
33,male,2,YouTube,Sports,United Kingdom,Rural,Software Engineer,16622,FALSE,FALSE,TRUE
50,male,3,Facebook,Travel,United Kingdom,Rural,Marketer Manager,16093,TRUE,TRUE,TRUE
26,male,4,YouTube,Sports,United States,Urban,Marketer Manager,16704,FALSE,TRUE,TRUE
23,male,1,Instagram,Sports,Australia,Rural,Software Engineer,10100,TRUE,FALSE,FALSE
33,female,7,YouTube,Travel,United Kingdom,Urban,Marketer Manager,16657,TRUE,FALSE,FALSE
46,non-binary,2,Instagram,Travel,United States,Rural,Software Engineer,15875,FALSE,FALSE,FALSE
20,female,5,Instagram,Sports,United Kingdom,Urban,Marketer Manager,14271,TRUE,TRUE,TRUE
37,male,1,Facebook,Sports,United States,Rural,Software Engineer,10237,TRUE,FALSE,FALSE
53,female,3,Facebook,Lifestlye,United States,Urban,Student,17226,FALSE,TRUE,TRUE
36,non-binary,2,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,18032,TRUE,FALSE,TRUE
43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,15218,TRUE,TRUE,TRUE
20,female,7,YouTube,Lifestlye,Australia,Urban,Marketer Manager,14025,FALSE,FALSE,FALSE
36,female,5,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,16073,FALSE,TRUE,TRUE
37,female,1,YouTube,Travel,Australia,Rural,Marketer Manager,12542,FALSE,TRUE,TRUE
49,male,6,Instagram,Travel,United Kingdom,Rural,Software Engineer,11537,FALSE,TRUE,FALSE
24,female,5,YouTube,Sports,Australia,Rural,Student,10754,FALSE,TRUE,TRUE
58,female,3,YouTube,Lifestlye,United States,Sub_Urban,Student,17396,FALSE,TRUE,FALSE
50,female,7,YouTube,Travel,United Kingdom,Sub_Urban,Student,17823,FALSE,TRUE,TRUE
